"","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"329","CORRIENTES, AR",1980-11-28,0,22.8,25,NA
"330","CORRIENTES, AR",1980-11-29,2,26.1,NA,18
"331","CORRIENTES, AR",1980-11-30,0,23.4,31,19
"332","CORRIENTES, AR",1980-12-01,NA,22.6,26,NA
"333","CORRIENTES, AR",1980-12-02,0,23.6,28,NA
"334","CORRIENTES, AR",1980-12-03,0,26.9,NA,20
"335","CORRIENTES, AR",1980-12-04,0,26.4,31,NA
"336","CORRIENTES, AR",1980-12-05,NA,27.2,30,NA
"337","CORRIENTES, AR",1980-12-06,NA,26.8,NA,NA
"338","CORRIENTES, AR",1980-12-07,0,28.7,NA,20
"339","CORRIENTES, AR",1980-12-08,3,28.9,NA,19
"340","CORRIENTES, AR",1980-12-09,0,30.1,NA,19
"341","CORRIENTES, AR",1980-12-10,0,29.4,36,26
"342","CORRIENTES, AR",1980-12-11,4.1,26.1,32,21
"343","CORRIENTES, AR",1980-12-12,2,27.6,NA,21
"344","CORRIENTES, AR",1980-12-13,0,27.2,NA,20
"345","CORRIENTES, AR",1980-12-14,0,26.7,32,17
"346","CORRIENTES, AR",1980-12-15,0,28.8,NA,19
"347","CORRIENTES, AR",1980-12-16,0,28.4,36,20
"348","CORRIENTES, AR",1980-12-17,0,32,NA,21
"349","CORRIENTES, AR",1980-12-18,0,25.3,38,NA
"350","CORRIENTES, AR",1980-12-19,NA,22.3,32,NA
"351","CORRIENTES, AR",1980-12-20,0.3,20.7,24,15
"352","CORRIENTES, AR",1980-12-21,0,20.6,26,14
"353","CORRIENTES, AR",1980-12-22,0,25,NA,13
"354","CORRIENTES, AR",1980-12-23,NA,27.2,NA,NA
"355","CORRIENTES, AR",1980-12-24,0,27.3,33,19
"356","CORRIENTES, AR",1980-12-26,4.1,23.8,NA,NA
"357","CORRIENTES, AR",1980-12-27,16,25.4,31,12
"358","CORRIENTES, AR",1980-12-28,0,28.4,NA,NA
"359","CORRIENTES, AR",1980-12-29,0,29.7,NA,21
"360","CORRIENTES, AR",1980-12-30,1,30.9,36,20
"361","CORRIENTES, AR",1980-12-31,0,28.8,36,21
"362","CORRIENTES, AR",1981-01-01,2,25.4,35,22
"363","CORRIENTES, AR",1981-01-02,0,31,NA,22
"364","CORRIENTES, AR",1981-01-03,0,24,36,21
"365","CORRIENTES, AR",1981-01-04,0,28.6,NA,18
"366","CORRIENTES, AR",1981-01-05,0,28.7,NA,20
"367","CORRIENTES, AR",1981-01-06,0,25.5,37,NA
"368","CORRIENTES, AR",1981-01-07,16,25.1,NA,20
"369","CORRIENTES, AR",1981-01-08,0,25.5,NA,20
"370","CORRIENTES, AR",1981-01-09,NA,26.6,33,NA
"371","CORRIENTES, AR",1981-01-10,0,24.8,32,21
"372","CORRIENTES, AR",1981-01-11,NA,25.6,NA,NA
"373","CORRIENTES, AR",1981-01-12,11.9,27.3,NA,21
"374","CORRIENTES, AR",1981-01-13,0,27.1,34,NA
"375","CORRIENTES, AR",1981-01-14,0,25.8,32,20
"376","CORRIENTES, AR",1981-01-15,0,25.6,32,19
"377","CORRIENTES, AR",1981-01-16,0,25.4,32,20
"378","CORRIENTES, AR",1981-01-17,NA,24,34,NA
"379","CORRIENTES, AR",1981-01-18,NA,27.2,NA,NA
